City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,uturoa,-16.7333,-151.4333,26.86,84,44,7.63,PF,1702493201
234,tarinkot,32.6268,65.8733,7.99,27,100,0.92,AF,1702493086
235,tofol,5.3248,163.0078,27.85,81,78,6.09,FM,1702493201
236,kandi,11.1342,2.9386,23.35,19,15,2.27,BJ,1702493201
237,rundu,-17.9333,19.7667,25.24,48,97,1.33,NA,1702493202
238,nuuk,64.1835,-51.7216,-6.66,86,75,3.6,GL,1702493073
239,nawabshah,26.2483,68.4096,18.64,18,62,2.0,PK,1702492972
240,yarmouth,41.7057,-70.2286,8.33,51,0,7.2,US,1702493202
241,eforie sud,44.0229,28.6494,9.45,81,100,9.95,RO,1702493202
242,richards bay,-28.783,32.0377,20.69,90,100,3.67,ZA,1702493136
243,harper,4.375,-7.7169,27.26,80,0,3.96,LR,1702493203
244,talara,-4.5772,-81.2719,30.42,54,0,7.72,PE,1702493203
245,amga,60.8953,131.9608,-28.66,96,100,2.48,RU,1702493203
246,isangel,-19.55,169.2667,23.04,65,7,3.76,VU,1702493203
247,coquimbo,-29.9533,-71.3436,18.85,68,20,7.2,CL,1702492973
248,salekhard,66.53,66.6019,-16.4,90,100,3.36,RU,1702493204
249,howrah,22.5892,88.3103,18.0,82,5,0.0,IN,1702493204
250,port saint john's,-31.6229,29.5448,20.54,87,100,7.99,ZA,1702493204
251,juneau,58.3019,-134.4197,2.0,92,100,7.2,US,1702493040
252,pineville,31.3224,-92.4343,16.6,39,0,4.12,US,1702493204
253,dhidhdhoo,6.8833,73.1,27.97,79,70,3.62,MV,1702493205
254,east london,-33.0153,27.9116,19.52,77,20,5.66,ZA,1702493205
255,rio grande,-32.035,-52.0986,27.06,87,100,1.14,BR,1702493205
256,sao joao da barra,-21.6403,-41.0511,28.05,74,1,4.54,BR,1702493113
257,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,91,75,8.05,RU,1702493205
258,belmonte,-15.8631,-38.8828,27.75,59,100,4.01,BR,1702493206
259,buala,-8.145,159.5921,25.87,84,13,0.37,SB,1702493206
260,kingston,17.997,-76.7936,28.53,69,75,5.66,JM,1702493015
261,shadrinsk,56.0852,63.6335,-20.51,83,78,4.46,RU,1702493206
262,ilabaya,-17.4208,-70.5133,24.96,48,77,4.6,PE,1702493207
263,tolanaro,-25.0319,46.9987,26.04,94,40,1.03,MG,1702493207
264,korla,41.7597,86.1469,-7.48,24,96,1.95,CN,1702493207
265,nemuro,43.3236,145.575,-3.95,61,7,10.62,JP,1702493207
266,tchintabaraden,15.8969,5.7985,19.64,19,0,5.02,NE,1702493208
267,port mathurin,-19.6833,63.4167,26.45,75,4,5.63,MU,1702493208
268,deridder,30.8463,-93.289,15.98,39,20,4.63,US,1702493208
269,paradip garh,20.3167,86.6167,20.47,55,99,1.98,IN,1702493209
270,shakiso,5.75,38.9167,17.36,88,90,0.97,ET,1702493209
271,homa bay,-0.5273,34.4571,21.22,83,100,2.16,KE,1702493209
272,nieves,15.3274,120.9485,25.73,86,1,1.37,PH,1702493209
273,ma'rib,15.4591,45.3253,20.11,24,4,1.47,YE,1702493209
274,west island,-12.1568,96.8225,25.99,83,40,3.09,CC,1702493209
275,haiku-pauwela,20.9219,-156.3051,24.03,77,40,5.66,US,1702493210
276,al jawf,29.5,38.75,14.41,64,41,7.1,SA,1702493210
277,lajas,18.05,-67.0593,29.03,26,35,1.34,PR,1702493210
278,mariakani,-3.8633,39.4736,26.05,93,85,1.38,KE,1702493210
279,fale old settlement,-9.3852,-171.2468,26.34,90,100,7.62,TK,1702493210
280,ubari,26.5921,12.7805,16.75,31,9,3.29,LY,1702493211
281,kudahuvadhoo,2.6708,72.8944,28.0,75,35,1.86,MV,1702493084
282,chudovo,59.1167,31.6833,-4.97,95,100,3.71,RU,1702493211
283,bardai,11.65,7.2333,18.08,24,3,4.19,NG,1702493211
284,sarykemer,43.0,71.5,-29.29,97,28,2.53,KZ,1702493211
285,susuman,62.7833,148.1667,-28.08,100,100,1.07,RU,1702493211
286,barcelos,41.5388,-8.6151,12.14,86,0,2.7,PT,1702493212
287,bouza,14.4229,6.0428,20.91,17,0,4.07,NE,1702493212
288,san antonio de pale,-1.4014,5.6325,26.76,82,100,5.21,GQ,1702493212
289,iguape,-24.7081,-47.5553,25.87,70,2,5.36,BR,1702493212
290,kulgam,33.65,75.0167,1.75,46,3,1.06,IN,1702493212
291,moapa valley,36.5805,-114.4703,17.04,38,1,3.03,US,1702492985
292,kota,25.1833,75.8333,17.29,42,96,1.57,IN,1702493213
293,rong'an,26.1247,119.1214,14.22,96,0,0.79,CN,1702493213
294,mariehamn,60.0973,19.9348,-1.21,80,100,4.63,AX,1702493213
295,guipavas,48.4352,-4.3972,10.59,81,75,8.23,FR,1702493213
296,xingtai,37.0631,114.4942,-1.58,96,100,6.14,CN,1702493213
297,vilyuchinsk,52.9306,158.4028,-7.85,81,80,5.6,RU,1702493213
